plotID,earliest_disturbance,latest_disturbance,mean_before_O,mean_after_O,mean_before_M,mean_after_M,years_offset_before,O_after_1,O_after_2,O_after_3,O_after_4,O_after_5,O_after_6,O_after_7,O_after_8,O_after_9,O_after_10,O_after_11,O_after_12,O_after_13,O_after_14,O_after_15,O_after_16,O_after_17,O_after_18,O_after_19,O_after_20,M_after_1,M_after_2,M_after_3,M_after_4,M_after_5,M_after_6,M_after_7,M_after_8,M_after_9,M_after_10,M_after_11,M_after_12,M_after_13,M_after_14,M_after_15,M_after_16,M_after_17,M_after_18,M_after_19,M_after_20
DSNY_009,9/9/17,8/29/23,,,2.766666666666667,1.8233333333333333,10,,,,,,,,,,,,,,,,,,,,,1.8233333333333333,,,,,,,,,,,,,,,,,,,
DSNY_004,9/9/17,8/29/23,,,3.516666666666667,3.3000000000000003,10,,,,,,,,,,,,,,,,,,,,,3.3000000000000003,,,,,,,,,,,,,,,,,,,
DSNY_043,9/9/17,8/29/23,,,1.3499999999999999,1.5,10,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,
DSNY_044,8/16/18,8/29/23,,,1.6266666666666667,0.9666666666666667,10,,,,,,,,,,,,,,,,,,,,,0.9666666666666667,,,,,,,,,,,,,,,,,,,
DSNY_042,8/16/18,8/29/23,,,2.4175,1.0525,10,,,,,,,,,,,,,,,,,,,,,1.0525,,,,,,,,,,,,,,,,,,,
DSNY_006,8/16/18,8/29/23,,,0.47,0.485,10,,,,,,,,,,,,,,,,,,,,,0.485,,,,,,,,,,,,,,,,,,,
GUAN_002,9/19/17,9/19/17,,,15.856666666666667,17.830000000000002,10,,,,,,,,,,,,,,,,,,,,,12.64,,,,23.02,,,,,,,,,,,,,,,
GUAN_004,9/19/17,9/19/17,,,30.326666666666664,27.35571428571429,10,,,,,,,,,,,,,,,,,,,,,21.8125,,,,34.74666666666667,,,,,,,,,,,,,,,
GUAN_001,9/19/17,9/19/17,,,18.726666666666663,12.665714285714287,10,,,,,,,,,,,,,,,,,,,,,11.563333333333333,,,,13.4925,,,,,,,,,,,,,,,
GUAN_007,9/19/17,9/19/17,,,39.803333333333335,27.641666666666666,10,,,,,,,,,,,,,,,,,,,,,28.026666666666667,,,,27.256666666666664,,,,,,,,,,,,,,,
GUAN_003,9/19/17,9/19/17,,,28.826666666666664,27.836666666666662,10,,,,,,,,,,,,,,,,,,,,,22.169999999999998,,,,33.50333333333333,,,,,,,,,,,,,,,
