plotID,earliest_disturbance,latest_disturbance,mean_before_O,mean_after_O,mean_before_M,mean_after_M,years_offset_before,O_after_1,O_after_2,O_after_3,O_after_4,O_after_5,O_after_6,O_after_7,O_after_8,O_after_9,O_after_10,O_after_11,O_after_12,O_after_13,O_after_14,O_after_15,O_after_16,O_after_17,O_after_18,O_after_19,O_after_20,M_after_1,M_after_2,M_after_3,M_after_4,M_after_5,M_after_6,M_after_7,M_after_8,M_after_9,M_after_10,M_after_11,M_after_12,M_after_13,M_after_14,M_after_15,M_after_16,M_after_17,M_after_18,M_after_19,M_after_20
LENO_006,2019-01-02,2019-04-19,2.3833333333333333,2.2866666666666666,,,10,,,,,2.2866666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENO_064,2019-01-02,2019-04-19,1.0033333333333332,1.45,,,10,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENO_004,2019-01-02,2019-04-19,1.3,1.5333333333333332,,,10,,,,,1.5333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENO_005,2019-01-02,2019-04-19,0.9933333333333333,1.0533333333333335,,,10,,,,,1.0533333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENO_001,2019-01-02,2019-04-19,1.4766666666666666,1.365,,,10,,,,,1.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLBS_005,2018-06-27,2018-07-27,5.883333333333333,38.28,3.563333333333333,3.6333333333333333,10,,,,,38.28,,,,,,,,,,,,,,,,,,,,3.6333333333333333,,,,,,,,,,,,,,,
MLBS_001,2018-06-27,2018-07-27,6.573333333333333,,2.32,3.8766666666666665,10,,,,,,,,,,,,,,,,,,,,,,,,,3.8766666666666665,,,,,,,,,,,,,,,
MLBS_003,2018-06-27,2018-07-27,20.616666666666667,,5.296666666666667,7.59,10,,,,,,,,,,,,,,,,,,,,,,,,,7.59,,,,,,,,,,,,,,,
MLBS_002,2018-06-27,2018-07-27,37.45666666666667,37.095,13.0825,8.635,10,,,,,37.095,,,,,,,,,,,,,,,,,,,,8.635,,,,,,,,,,,,,,,
MLBS_064,2018-06-27,2018-07-27,9.63,,1.7433333333333334,5.973333333333334,10,,,,,,,,,,,,,,,,,,,,,,,,,5.973333333333334,,,,,,,,,,,,,,,
